country,location_name,year,month,temperature_celsius,wind_mps,pressure_pa,precip_mm,humidity,cloud,uv_index,air_quality_PM2.5,air_quality_PM10
Liberia,Monrovia,2025,3,27.335483870967742,2.521505376344086,101212.90322580645,0.06967741935483872,82.83870967741936,53.354838709677416,2.083870967741935,33.53274193548388,61.85564516129032
Liberia,Monrovia,2025,4,27.096666666666668,1.9157407407407407,101140.0,0.08633333333333333,87.23333333333333,58.93333333333333,2.06,26.627666666666666,39.49133333333334
Liberia,Monrovia,2025,5,26.480645161290322,1.913978494623656,101303.2258064516,0.2974193548387097,89.70967741935483,50.58064516129032,1.506451612903226,17.706290322580646,29.17032258064516
Liberia,Monrovia,2025,6,25.526666666666664,2.5435185185185185,101493.33333333333,0.5263333333333333,91.66666666666667,69.56666666666666,1.2166666666666666,14.676666666666668,19.659333333333333
Liberia,Monrovia,2025,7,24.62258064516129,3.6917562724014337,101551.6129032258,0.3693548387096774,92.25806451612904,72.3225806451613,0.5806451612903226,22.450645161290325,29.5641935483871
Liberia,Monrovia,2025,8,24.248387096774195,4.259856630824373,101361.29032258065,0.3064516129032258,92.96774193548387,74.19354838709677,0.4580645161290323,18.893870967741936,24.211129032258064
Liberia,Monrovia,2025,9,24.323333333333334,2.3666666666666667,101286.66666666667,0.6683333333333333,94.06666666666666,72.1,0.4233333333333333,15.091000000000001,18.144166666666667
Liberia,Monrovia,2025,10,24.374193548387098,1.8127240143369174,101183.87096774194,0.30000000000000004,92.58064516129032,71.80645161290323,0.35806451612903223,9.350000000000001,11.556451612903226
Liberia,Monrovia,2025,11,24.543333333333333,1.473148148148148,101073.33333333333,0.484,92.86666666666666,65.93333333333334,0.11,12.653333333333334,15.666666666666666
Liberia,Monrovia,2025,12,24.23225806451613,1.5985663082437276,100925.80645161291,0.2870967741935484,94.0,54.03225806451613,0.0,21.253225806451614,35.80483870967742
Liberia,Monrovia,2026,1,24.016666666666666,2.0074074074074075,100990.0,0.257,93.66666666666667,52.56666666666667,0.0,23.14,40.71333333333334
Liberia,Monrovia,2026,2,24.116666666666664,2.0,100950.0,0.25166666666666665,94.0,45.833333333333336,0.0,25.733333333333334,43.76666666666667
Libya,Tripoli,2024,6,27.0,8.805555555555555,100700.0,0.0,74.0,0.0,7.0,38.8,76.5
Liechtenstein,Vaduz,2024,5,17.11764705882353,2.753267973856209,101241.17647058824,0.6329411764705882,67.88235294117646,41.88235294117647,3.176470588235294,1.511764705882353,1.7352941176470589
Liechtenstein,Vaduz,2024,6,20.720000000000002,2.440740740740741,101450.0,0.489,68.46666666666667,42.666666666666664,4.2,2.1533333333333333,2.7666666666666666
Liechtenstein,Vaduz,2024,7,22.482142857142858,2.314484126984127,101575.0,0.12250000000000001,61.107142857142854,41.535714285714285,5.178571428571429,2.175,2.4892857142857143
Liechtenstein,Vaduz,2024,8,22.951612903225808,2.210573476702509,101577.41935483871,0.12838709677419352,55.645161290322584,35.12903225806452,5.870967741935484,3.767741935483871,4.245161290322581
Liechtenstein,Vaduz,2024,9,16.503333333333334,1.797222222222222,101546.66666666667,0.163,70.83333333333333,47.53333333333333,3.9,6.476166666666667,8.548499999999999
Liechtenstein,Vaduz,2024,10,11.54516129032258,1.9758064516129032,101832.25806451614,0.16451612903225804,87.96774193548387,59.806451612903224,1.5129032258064516,6.671935483870967,9.488709677419354
Liechtenstein,Vaduz,2024,11,2.14,1.9814814814814814,102453.33333333333,0.11033333333333332,93.86666666666666,68.1,0.6666666666666666,10.3785,13.646833333333335
Liechtenstein,Vaduz,2024,12,-0.5870967741935483,2.0044802867383513,102535.48387096774,0.13161290322580646,89.06451612903226,64.64516129032258,0.7774193548387097,7.364193548387097,8.981451612903227
Liechtenstein,Vaduz,2025,1,2.2451612903225806,2.5152329749103943,101900.0,0.2390322580645161,85.35483870967742,56.54838709677419,0.8129032258064516,7.035967741935484,8.671129032258065
Liechtenstein,Vaduz,2025,2,3.1607142857142856,1.8759920634920635,102342.85714285714,0.03892857142857143,90.82142857142857,73.57142857142857,1.45,10.981071428571429,13.247321428571428
Liechtenstein,Vaduz,2025,3,6.864516129032258,2.078853046594982,101580.64516129032,0.1,81.58064516129032,43.54838709677419,2.061290322580645,12.221935483870968,14.35241935483871
Liechtenstein,Vaduz,2025,4,10.236666666666668,2.1314814814814813,101693.33333333333,0.035666666666666666,73.23333333333333,30.833333333333332,3.08,11.106166666666667,13.714666666666666
Liechtenstein,Vaduz,2025,5,13.529032258064516,1.6164874551971327,101706.45161290323,0.24741935483870967,71.19354838709677,43.54838709677419,3.07741935483871,10.383870967741935,12.418870967741936
Liechtenstein,Vaduz,2025,6,20.220000000000002,1.6222222222222225,102106.66666666667,0.10833333333333334,69.9,28.333333333333332,4.6033333333333335,11.365166666666665,15.644833333333334
Liechtenstein,Vaduz,2025,7,19.06451612903226,1.3915770609318996,101693.54838709677,0.6474193548387097,76.2258064516129,49.193548387096776,3.2129032258064516,8.587580645161289,10.222741935483873
Liechtenstein,Vaduz,2025,8,18.883870967741935,1.1917562724014337,101783.87096774194,0.1964516129032258,79.90322580645162,34.67741935483871,2.5677419354838706,13.057419354838709,17.330322580645163
Liechtenstein,Vaduz,2025,9,14.91,1.3907407407407406,101876.66666666667,0.20099999999999998,86.26666666666667,52.5,0.98,7.316166666666667,8.973666666666666
Liechtenstein,Vaduz,2025,10,9.67741935483871,1.9480286738351256,101800.0,0.06451612903225806,85.74193548387096,68.54838709677419,0.4129032258064516,7.485483870967743,8.417741935483871
Liechtenstein,Vaduz,2025,11,3.61,2.6416666666666666,101536.66666666667,0.10333333333333333,97.73333333333333,57.833333333333336,0.06666666666666667,5.026666666666667,5.8
Liechtenstein,Vaduz,2025,12,1.5935483870967742,2.6129032258064515,101961.29032258065,0.007419354838709677,96.80645161290323,77.41935483870968,0.0,6.414516129032258,8.046774193548387
Liechtenstein,Vaduz,2026,1,-1.26551724137931,2.455938697318008,100824.13793103448,0.13103448275862067,94.62068965517241,57.58620689655172,0.0,4.88448275862069,5.825862068965517
Liechtenstein,Vaduz,2026,2,0.03333333333333333,2.8703703703703702,99850.0,0.0,100.0,58.333333333333336,0.0,4.833333333333333,5.566666666666667
Lithuania,Vilnius,2024,5,21.705882352941178,4.364379084967321,101870.58823529411,0.31764705882352945,49.35294117647059,31.352941176470587,4.9411764705882355,2.5823529411764703,3.3000000000000003
Lithuania,Vilnius,2024,6,21.836666666666666,3.905555555555556,101273.33333333333,0.17566666666666667,56.266666666666666,40.46666666666667,5.2,2.1166666666666667,2.493333333333333
Lithuania,Vilnius,2024,7,23.349999999999998,4.10515873015873,101317.85714285714,0.6575,57.857142857142854,49.25,5.5,2.4035714285714285,2.625
Lithuania,Vilnius,2024,8,23.809677419354838,3.795698924731183,101464.51612903226,0.03096774193548387,54.806451612903224,43.774193548387096,5.903225806451613,3.3225806451612905,3.7548387096774194
Lithuania,Vilnius,2024,9,21.46333333333333,4.334259259259259,101883.33333333333,0.08166666666666665,53.43333333333333,22.1,5.8,11.0695,14.659666666666668
Lithuania,Vilnius,2024,10,10.229032258064517,3.814516129032258,101948.3870967742,0.07064516129032258,76.54838709677419,51.61290322580645,1.6258064516129032,15.563870967741936,19.87258064516129
Lithuania,Vilnius,2024,11,3.31,4.576851851851853,101693.33333333333,0.03166666666666667,86.96666666666667,74.86666666666666,0.43666666666666665,18.4445,22.841333333333335
Lithuania,Vilnius,2024,12,2.0516129032258066,4.558243727598567,101751.6129032258,0.0232258064516129,86.45161290322581,76.29032258064517,0.21935483870967742,20.970645161290324,24.79596774193548
Lithuania,Vilnius,2025,1,1.729032258064516,4.625448028673835,101193.54838709677,0.08451612903225807,89.74193548387096,80.2258064516129,0.3548387096774194,21.203387096774193,25.171935483870968
Lithuania,Vilnius,2025,2,-2.8857142857142857,3.7876984126984126,102757.14285714286,0.011785714285714287,73.67857142857143,59.357142857142854,0.8321428571428572,20.316964285714285,24.737142857142857
Lithuania,Vilnius,2025,3,6.619354838709677,4.597670250896057,101458.06451612903,0.0661290322580645,64.25806451612904,46.774193548387096,1.7838709677419353,23.20258064516129,28.16774193548387
Lithuania,Vilnius,2025,4,11.066666666666666,4.662962962962963,101580.0,0.019666666666666666,56.333333333333336,28.733333333333334,2.69,13.344666666666665,18.808333333333334
Lithuania,Vilnius,2025,5,11.661290322580646,4.03673835125448,101164.51612903226,0.19870967741935483,59.0,37.483870967741936,3.083870967741935,8.61741935483871,12.042903225806452
Lithuania,Vilnius,2025,6,17.19333333333333,5.3314814814814815,101266.66666666667,0.14833333333333334,68.26666666666667,49.53333333333333,3.6766666666666667,8.072166666666666,12.345666666666666
Lithuania,Vilnius,2025,7,20.66774193548387,3.524193548387097,101000.0,0.5138709677419355,72.29032258064517,51.193548387096776,3.8451612903225807,10.139193548387096,13.725806451612904
Lithuania,Vilnius,2025,8,17.65806451612903,3.731182795698925,101429.03225806452,0.08064516129032258,72.87096774193549,30.612903225806452,3.193548387096774,10.431612903225806,15.683225806451613
