last_updated,latitude,longitude,last_updated_epoch,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
2025-03-31,19.110842724714452,22.102420609170665,1742118281.9731832,20.095298791590796,68.17343155106771,8.242012911769574,13.267720576063565,161.620427081609,1014.3151796060255,29.95199801357391,0.13108425757324946,0.004969375931137229,64.14434696242344,39.33057440821056,20.586310213540802,69.04883297467306,9.603674888263534,5.681675219334547,3.4011421950008276,11.188064889918888,18.00604204601887,567.0379266677703,65.64658169177288,19.33190134083761,13.145162886939248,32.15178993544115,67.72527230590961,2.0147326601556035,3.420129117695746,50.261380566131436
2025-04-30,19.107268717948717,22.08899076923077,1744751157.5384614,21.96505982905983,71.53859829059829,8.265367521367521,13.304376068376069,164.4071794871795,1013.7668376068376,29.93597264957265,0.1295128205128205,0.004902564102564103,63.02735042735043,38.46564102564103,22.81948717948718,73.06895726495726,9.75234188034188,5.781367521367521,3.7052991452991453,11.082923076923077,17.837982905982905,512.5441241025642,66.18752136752137,16.94243658119658,11.144553675213675,28.506777435897433,64.93643145299146,1.8716239316239316,3.011794871794872,52.46239316239316
2025-05-31,19.113303484320557,22.393930379956863,1747384640.2190144,23.30779824124772,73.9562468889995,8.278812012609922,13.325070516011282,171.76290028206404,1013.4591007134561,29.926603617056582,0.1472390907582545,0.005558320889331342,63.686908909905426,38.00464576074332,24.52029201924672,76.12845528455284,9.761838393894143,5.783474365355898,3.815596482495437,11.153177368508379,17.95216525634644,489.0052010950722,64.78496764559482,15.57305425584868,10.935305956528953,28.29721718931475,68.32709888833583,1.830927492948399,2.936618549858968,51.32453957192633
2025-06-30,19.09776199110503,22.076632141635308,1750020911.4950392,24.95810810810811,76.92685596989395,8.553575094081422,13.767310981867944,179.08176530961342,1013.7299007868628,29.934736572015055,0.12288060212110845,0.00466130687649675,62.981696886760176,36.34912760862128,26.322340061580565,79.37348614437222,9.73508381799521,5.769243927471775,4.111255559356826,11.464556962025316,18.453181662675334,477.68804533014026,66.14642490591858,14.816639924734861,11.1398634964078,27.3498862470065,59.552183031132394,1.8212452959288403,2.845535408826548,51.83595620937393
2025-07-31,19.093712363455808,22.079371929824564,1752655249.1559086,25.298030453492224,77.53775239986759,8.355858987090366,13.44882489241973,182.72509102946043,1012.846739490235,29.908795100959946,0.17079278384640847,0.006529294935451837,65.01142005958292,38.87686196623635,26.79150943396226,80.21828864614366,9.681827209533267,5.728897715988084,3.7956471367096984,11.288530287984111,18.168768619662362,479.8789500165508,60.98692485931811,16.581163522012577,11.009962429659053,25.887279543197618,51.88181065872228,1.7638199271764317,2.712843429328037,50.19447202912943
2025-08-31,19.20528869953673,21.858629930509593,1755332094.0436797,24.706055592322965,76.4735274652548,7.85938120450033,12.650479814692257,177.05873593646592,1013.6012574454004,29.930865320979482,0.14047650562541364,0.005324288550628722,66.19523494374586,37.29880873593647,26.160572468563863,79.08323957643944,9.710241561879549,5.74272005294507,3.4715254798146926,10.511052283256122,16.918398411647917,500.52017620780936,56.96277299801456,17.91680294506949,10.611385506287228,26.72843696227664,52.91837673726009,1.7873924553275977,2.7397418927862343,49.33322303110523
2025-09-30,19.383090593466736,21.44617143834445,1757966097.0754232,23.37191722250727,74.07111339148281,7.656097143834445,12.325397639815291,169.61176671797503,1014.5349752009578,29.958358132375576,0.1388113562510689,0.005269368907131863,69.12433726697452,38.384641696596546,24.749905934667353,76.5423122969044,9.71262185736275,5.743971267316573,2.9557379852916026,10.233316230545578,16.471130494270565,524.8591183512913,52.239439028561655,19.56199367196853,10.831016760732,25.109690097485892,44.25654797331965,1.7523516333162306,2.6663246109115786,48.185052163502654
2025-10-31,19.384672236929188,21.405182908669754,1760600493.911317,20.8722700198544,69.57203838517539,7.41331899404368,11.935158835208473,170.29367968232958,1014.4273659827928,29.955183653209797,0.13123097286565188,0.004948709463931171,71.04119788219722,40.993712772998016,21.806833223031106,71.24545003309066,9.58878226340172,5.658669755129053,2.301125082726671,10.226687624090006,16.460886829913964,317.12764377895434,47.572137657180676,13.309625909993382,7.711743712772998,16.25636647915288,27.106531932495034,1.4215751158173395,1.9070152217074785,47.707809397749834
2025-11-30,19.388301555289694,21.373991642454282,1763235332.0970774,18.367749102717482,65.06388651512562,7.130422150059818,11.480840881900528,164.60724662450863,1014.8887369680397,29.969027516663818,0.13679029225773373,0.005209365920355495,72.55204238591693,40.9955563151598,18.929618868569474,66.06800546915058,9.116920184583831,5.348487438044779,1.8340112801230557,10.371560417022732,16.692992650828916,341.25465663989064,44.34643650658007,13.545068535293112,8.324268672021876,17.864996752691848,27.72220064946163,1.4896598871987694,2.071098957443172,46.95436677491027
2025-12-31,19.377997485525228,21.518251100082715,1765869562.9280398,16.252224979321753,61.256228287841196,7.404416873449131,11.9216211745244,158.38560794044665,1015.1900744416873,29.978052936311,0.1113085194375517,0.004173697270471464,75.40198511166253,44.71166253101737,16.481439205955336,61.662746071133164,8.805508684863524,5.1477253928866835,1.6080562448304385,10.946302729528535,17.61758478081059,341.5966147229115,42.557650951199335,13.513157320099255,9.808376509511993,20.790212737799834,35.07805392886684,1.5998345740281223,2.3526881720430106,48.45690653432589
2026-01-31,19.315310275732145,21.855827042301765,1768538869.5495803,14.713649597533824,58.48578523719815,7.769018667580066,12.50676485699606,161.04127419078608,1013.9976023291659,29.94271964377462,0.11940572015756123,0.004502483301935263,73.64497345435862,43.05480390477822,14.586898441513958,58.25295427299195,8.844545298852545,5.166638122966261,1.7286521664668608,11.493252269224183,18.497687960267168,337.9587103956157,45.80733002226409,13.30861620140435,9.283218016783696,21.067205000856312,39.62836273334475,1.6007878061311869,2.370782668265114,51.82976537078267
2026-02-28,19.315643942505133,21.71119789527721,1770318196.8172483,15.475410677618068,59.85770020533881,7.570995893223819,12.188141683778234,157.4804928131417,1013.1724845995893,29.91835728952772,0.09553388090349076,0.0035780287474332646,74.01745379876797,45.24229979466119,15.469147843942507,59.84245379876797,9.02022587268994,5.284907597535934,1.8102156057494867,11.29235112936345,18.174075975359344,314.28943531827514,46.18377823408624,12.22588295687885,7.435841889117043,19.224804928131416,34.830862422997946,1.5431211498973305,2.196098562628337,80.56930184804928
