country,temperature_celsius,precip_mm,humidity
Indonesia,28.08653998416469,613.27,74.87806809184481
Iran,19.951327433628318,35.36,28.38777152051488
Iraq,29.710142630744848,5.06,29.24405705229794
Ireland,11.397615262321144,90.64,80.64864864864865
Israel,24.53253968253968,9.27,48.67301587301587
Italy,19.538730158730157,49.3,64.8873015873016
Jamaica,26.972408293460926,104.98,78.14673046251994
Japan,19.972424722662442,85.69,61.759112519809825
Jemen,26.1,0.2,34.0
Jordan,22.555625990491283,11.36,39.88589540412045
Kazakhstan,9.092698412698413,42.91,60.74920634920635
Kenya,21.983069620253165,69.04,56.938291139240505
Kiribati,27.879968203497615,40.58,75.24801271860095
Komoren,25.2,0.0,71.0
Kosovo,29.3,0.27,42.0
Kuwait,31.896830427892237,3.08,26.185419968304277
Kyrghyzstan,17.39857142857143,64.13,43.906349206349205
Lao People'S Democratic Republic,25.0,1.97,95.0
Latvia,10.676470588235293,58.99,74.27821939586646
Lebanon,24.014785373608902,31.43,59.27503974562798
Lesotho,19.64936507936508,33.92,42.63333333333333
Letonia,20.6,1.83,94.0
Liberia,26.13095238095238,229.17,87.42380952380952
Libya,27.0,0.0,74.0
Liechtenstein,10.980763116057233,115.13,80.69157392686805
Lithuania,10.255714285714287,82.52,73.31587301587301
Luxembourg,11.27027027027027,59.75,78.8314785373609
Macedonia,17.695534290271134,37.42,58.64912280701754
Madagascar,25.97943067033976,70.86,46.59779614325069
Malawi,24.539936608557845,64.05,52.32488114104596
Malaysia,30.099683042789227,371.12,70.70681458003169
Maldives,27.90047770700637,147.52,75.18949044585987
Mali,26.725990491283675,49.88,57.69889064976228
Malta,22.718066561014265,28.95,66.7242472266244
Malásia,24.3,1.55,93.0
Marrocos,40.3,0.0,14.0
Marshall Islands,28.154199683042787,183.92000000000002,81.26148969889066
Mauritania,23.935657686212362,4.78,55.79080824088748
Mauritius,26.58256735340729,60.85,68.00316957210777
Mexico,14.318370607028752,27.26,70.74281150159744
Mexique,27.4,0.0,72.0
Micronesia,28.02730158730159,225.54,83.68095238095238
Monaco,18.40302066772655,66.07,63.7456279809221
Mongolia,4.22543720190779,26.25,52.12718600953895
Montenegro,19.46904761904762,133.19,57.91587301587302
Morocco,19.54689984101749,34.57,77.97774244833069
Mozambique,25.838985736925515,35.19,61.83676703645008
Myanmar,30.43835182250396,288.69,72.14104595879556
Namibia,23.16269841269841,14.94,33.166666666666664
Nepal,22.93322734499205,310.21,59.408585055643876
Netherlands,12.929206349206348,65.89,76.58730158730158
New Zealand,13.718383518225039,100.10000000000001,78.6782884310618
Nicaragua,24.0488,82.47,86.0352
Niger,29.325079365079365,16.55,42.18412698412698
Nigeria,27.53042789223455,77.61,67.46434231378764
North Korea,13.862380952380951,60.94,61.96825396825397
Norway,8.494594594594595,63.49,75.82034976152623
Oman,31.646751188589537,0.7,52.193343898573694
Pakistan,28.41206349206349,59.94,32.01111111111111
Palau,28.17238095238095,271.83,82.28095238095239
Panama,25.475279106858054,122.65,90.52312599681021
Papua New Guinea,26.75365079365079,314.78000000000003,83.51587301587301
Paraguay,20.81984126984127,59.56,65.3984126984127
Peru,17.484025559105433,2.31,84.16453674121406
Philippines,29.894126984126984,250.73,73.73809523809524
Poland,12.422662440570523,38.72,68.64500792393027
Polônia,27.7,0.0,52.0
Portugal,17.552464228934817,67.89,76.15898251192368
Qatar,32.89,0.31,39.973015873015875
Romania,16.54984126984127,25.26,59.785714285714285
Russia,9.743721633888049,56.54,69.10741301059001
Rwanda,24.19984126984127,115.73,57.493650793650794
Saint Kitts And Nevis,26.836624203821657,89.17,79.46019108280255
Saint Lucia,27.151510333863275,96.99,80.71383147853736
Saint Vincent And The Grenadines,27.405891719745224,93.02,77.04140127388536
Saint-Vincent-Et-Les-Grenadines,27.8,0.13,82.0
Samoa,25.79824,204.03,87.2112
San Marino,17.43471337579618,81.01,69.07961783439491
Saudi Arabia,31.554372019077903,1.06,17.05723370429253
Saudi Arabien,45.0,0.0,7.0
Senegal,24.997147385103013,24.19,75.98256735340729
Serbia,16.212063492063493,58.47,62.03492063492064
Seychelles Islands,28.738571428571426,73.21000000000001,74.8984126984127
Sierra Leone,26.04092356687898,326.12,81.26910828025478
Singapore,29.72916006339144,234.01,69.45641838351823
Slovakia,13.979841269841268,46.43,66.57301587301588
Slovenia,13.829318541996829,133.92,72.4770206022187
Solomon Islands,27.015055467511885,243.37,86.2107765451664
Somalia,28.777142857142856,16.58,74.78888888888889
South Africa,21.260063391442156,35.02,47.003169572107765
South Korea,16.322063492063492,65.68,63.698412698412696
Spain,16.56015873015873,32.7,60.87619047619047
Sri Lanka,30.035079365079362,284.74,73.90793650793651
Sudan,30.22706349206349,23.23,28.13095238095238
Suriname,24.468839427662957,108.33,92.8489666136725
Swaziland,22.06295707472178,36.550000000000004,57.32432432432432
Sweden,10.608253968253967,40.33,72.61746031746031
Switzerland,11.320481927710844,107.4,77.00602409638554
Syria,22.843243243243244,14.77,38.089030206677265
Südkorea,26.1,0.22,84.0
Tajikistan,22.951904761904764,29.7,35.85079365079365
Tanzania,25.851188589540413,41.53,49.640253565768624
Thailand,30.66084193804607,301.34,60.858617950754564
Timor-Leste,26.36073131955485,230.37,75.30683624801271
Togo,27.9,0.16,74.0
Tonga,23.631746031746033,119.42,87.66666666666667
Trinidad And Tobago,25.456279809220987,149.72,88.90779014308426
Tunisia,22.72579617834395,15.16,62.47292993630573
Turkey,17.939237490071484,71.2,56.46703733121525
Turkmenistan,23.140158730158728,12.33,39.52063492063492
Turkménistan,37.8,0.0,11.0
Tuvalu,28.720602218700478,231.45000000000002,81.65451664025356
Uganda,25.617619047619048,87.25,63.40952380952381
Ukraine,13.18716323296355,35.47,57.86687797147385
United Arab Emirates,32.88177496038035,0.17,42.86370839936608
United Kingdom,12.772337042925278,56.46,77.2845786963434
United States Of America,8.81650641025641,30.03,89.4198717948718
Uruguay,14.176349206349206,52.31,86.66666666666667
Usa United States Of America,24.53333333333333,1.59,66.0
Uzbekistan,22.45689381933439,21.89,34.23771790808241
Vanuatu,24.787936507936507,141.07,86.55555555555556
Vatican City,19.50364500792393,50.46,64.97147385103011
Venezuela,23.418630573248407,55.4,82.0031847133758
Vietnam,26.877704609595483,311.99,68.96801505174035
Yemen,22.507619047619045,26.990000000000002,23.753968253968253
Zambia,24.83771790808241,66.42,44.21394611727417
Zimbabwe,23.65310015898251,61.62,39.5389507154213
Гватемала,15.9,0.0,95.0
Польша,24.2,0.0,56.0
Турция,34.0,0.0,44.0
كولومبيا,23.1,0.05,95.0
火鸡,29.7,0.0,24.0
