country,temperature_celsius,precip_mm,wind_kph,humidity
Saint Vincent and the Grenadines,27.396038034865295,0.14765451664025356,25.698890649762284,77.0729001584786
Saint-Vincent-et-les-Grenadines,27.8,0.13,27.0,82.0
Samoa,25.805095541401275,0.3251592356687898,21.211464968152864,87.19585987261146
San Marino,17.39080824088748,0.1293502377179081,12.211568938193343,69.21553090332804
Saudi Arabia,31.500316455696204,0.001677215189873418,15.292088607594938,17.14873417721519
Saudi Arabien,45.0,0.0,24.5,7.0
Senegal,24.968454258675077,0.03815457413249212,20.84179810725552,76.04889589905363
Serbia,16.154976303317536,0.09236966824644549,12.286571879936808,62.15481832543444
Seychelles Islands,28.74612954186414,0.11565560821484994,18.870774091627172,74.87519747235388
Sierra Leone,26.03565768621236,0.5168304278922345,8.857369255150555,81.29160063391443
Singapore,29.73738170347003,0.3695425867507886,13.896214511041011,69.38170347003154
Slovakia,13.932385466034756,0.07350710900473933,14.408846761453395,66.69036334913112
Slovenia,13.781072555205048,0.2112776025236593,6.436750788643534,72.59621451104101
Solomon Islands,27.02917981072555,0.3874447949526814,9.393059936908518,86.15457413249212
Somalia,28.769352290679304,0.026192733017377564,27.862717219589257,74.8088467614534
South Africa,21.26104100946372,0.05523659305993691,12.122082018927443,47.11514195583596
South Korea,16.249763033175356,0.10382306477093206,10.87172195892575,63.624012638230646
Spain,16.517851500789888,0.051990521327014226,11.013270142180094,61.02211690363349
Sri Lanka,30.037598736176935,0.44982622432859404,17.881358609794628,73.81674565560822
Sudan,30.19952606635071,0.01834913112164297,21.33436018957346,28.052922590837284
Suriname,24.461708860759494,0.17199367088607595,9.28876582278481,92.86075949367088
Swaziland,22.071835443037973,0.05786392405063291,8.962816455696203,57.424050632911396
Sweden,10.519273301737757,0.06372827804107425,14.666034755134282,72.7219589257504
Switzerland,11.273463268365816,0.16188905547226387,7.0064467766116945,77.07946026986507
Syria,22.801898734177215,0.023370253164556962,13.885126582278481,38.223101265822784
Südkorea,26.1,0.22,4.0,84.0
Tajikistan,22.902685624012637,0.047582938388625595,7.388783570300158,35.91785150078989
Tanzania,25.831230283911673,0.06607255520504732,12.225394321766561,49.79652996845426
Thailand,30.664505928853753,0.23821343873517783,9.294861660079052,60.793675889328064
Timor-Leste,26.35822784810127,0.37064873417721517,9.565981012658227,75.36075949367088
Togo,27.9,0.16,19.1,74.0
Tonga,23.654660347551342,0.1890047393364929,22.909478672985784,87.64139020537125
Trinidad and Tobago,25.45142405063291,0.2368987341772152,11.112816455696203,88.87341772151899
Tunisia,22.665768621236133,0.024104595879556257,14.410301109350238,62.621236133122025
Turkey,17.88529644268775,0.056332015810276685,14.237470355731226,56.63715415019763
Turkmenistan,23.112322274881517,0.01947867298578199,12.884518167456555,39.56714060031596
Turkménistan,37.8,0.0,22.0,11.0
Tuvalu,28.72634069400631,0.36534700315457413,18.614195583596214,81.60725552050474
USA United States of America,24.53333333333333,0.53,12.933333333333332,66.0
Uganda,25.60031595576619,0.1381042654028436,9.670300157977884,63.4739336492891
Ukraine,13.057728706624607,0.05596214511041009,14.24621451104101,58.03785488958991
United Arab Emirates,32.83801261829653,0.0002681388012618297,15.687066246056784,42.93375394321767
United Kingdom,12.745886075949366,0.08943037974683543,14.2248417721519,77.38132911392405
United States of America,8.814194577352472,0.04789473684210527,8.349122807017544,89.40350877192982
Uruguay,14.200473933649288,0.08263823064770932,15.728751974723538,86.69194312796209
Uzbekistan,22.403154574132493,0.03462145110410095,9.836435331230284,34.2602523659306
Vanuatu,24.800631911532385,0.22328593996840443,16.28436018957346,86.55134281200633
Vatican City,19.45315457413249,0.07960567823343849,10.608832807570979,65.10567823343848
Venezuela,23.40744849445325,0.08779714738510301,5.450079239302694,82.02377179080824
Vietnam,26.852671040299906,0.2925117150890347,9.31274601686973,68.98219306466729
Yemen,22.477251184834124,0.04263823064770932,12.362401263823065,23.769352290679304
Zambia,24.815141955835962,0.10611987381703471,13.351104100946372,44.41482649842271
Zimbabwe,23.6371835443038,0.09749999999999999,11.174525316455696,39.688291139240505
Гватемала,15.9,0.0,6.5,95.0
Польша,24.2,0.0,13.7,56.0
Турция,34.0,0.0,24.1,44.0
كولومبيا,23.1,0.05,6.5,95.0
火鸡,29.7,0.0,18.4,24.0
